Date,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
7/1/1954,,,,0.8,4.6,5.8,
8/1/1954,,,,1.22,,6,
9/1/1954,,,,1.06,,6.1,
10/1/1954,,,,0.85,8,5.7,
11/1/1954,,,,0.83,,5.3,
12/1/1954,,,,1.28,,5,
1/1/1955,,,,1.39,11.9,4.9,
2/1/1955,,,,1.29,,4.7,
3/1/1955,,,,1.35,,4.6,
4/1/1955,,,,1.43,6.7,4.7,
5/1/1955,,,,1.43,,4.3,
6/1/1955,,,,1.64,,4.2,
7/1/1955,,,,1.68,5.5,4,
8/1/1955,,,,1.96,,4.2,
9/1/1955,,,,2.18,,4.1,
10/1/1955,,,,2.24,2.4,4.3,
11/1/1955,,,,2.35,,4.2,
12/1/1955,,,,2.48,,4.2,
1/1/1956,,,,2.45,-1.5,4,
2/1/1956,,,,2.5,,3.9,
3/1/1956,,,,2.5,,4.2,
4/1/1956,,,,2.62,3.4,4,
5/1/1956,,,,2.75,,4.3,
6/1/1956,,,,2.71,,4.3,
7/1/1956,,,,2.75,-0.3,4.4,
8/1/1956,,,,2.73,,4.1,
9/1/1956,,,,2.95,,3.9,
10/1/1956,,,,2.96,6.7,3.9,
11/1/1956,,,,2.88,,4.3,
12/1/1956,,,,2.94,,4.2,
1/1/1957,,,,2.84,2.6,4.2,
2/1/1957,,,,3,,3.9,
3/1/1957,,,,2.96,,3.7,
4/1/1957,,,,3,-0.9,3.9,
5/1/1957,,,,3,,4.1,
6/1/1957,,,,3,,4.3,
7/1/1957,,,,2.99,4,4.2,
8/1/1957,,,,3.24,,4.1,
9/1/1957,,,,3.47,,4.4,
10/1/1957,,,,3.5,-4,4.5,
11/1/1957,,,,3.28,,5.1,
12/1/1957,,,,2.98,,5.2,
1/1/1958,,,,2.72,-10,5.8,3.2
2/1/1958,,,,1.67,,6.4,3.2
3/1/1958,,,,1.2,,6.7,2.8
4/1/1958,,,,1.26,2.6,7.4,2.4
5/1/1958,,,,0.63,,7.4,2.4
6/1/1958,,,,0.93,,7.3,2.1
